epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9847.39,0.87178,1.03534,1.20529,0.83095,0.87405,0.89024,0.73113,0.72564,0.55491,1.14312,0.005842,0.005842,0.005842
44,10069.5,0.87111,1.03724,1.20296,0.83204,0.87577,0.89656,0.7383,0.72541,0.54246,1.14342,0.005743,0.005743,0.005743
45,10290.3,0.86301,1.01554,1.19785,0.84812,0.8774,0.901,0.74064,0.72754,0.53683,1.14582,0.005644,0.005644,0.005644
46,10503.6,0.86212,1.01225,1.19948,0.87658,0.86536,0.90791,0.74872,0.71912,0.52093,1.13684,0.005545,0.005545,0.005545
47,10721.6,0.85395,0.99475,1.19099,0.8559,0.89278,0.9113,0.74896,0.72318,0.51158,1.13704,0.005446,0.005446,0.005446
48,10940.4,0.85152,0.98898,1.19436,0.8676,0.88192,0.91396,0.75551,0.71486,0.50605,1.13273,0.005347,0.005347,0.005347
49,11154.7,0.84595,0.98763,1.18933,0.86132,0.88277,0.91174,0.75536,0.70859,0.50455,1.12595,0.005248,0.005248,0.005248
50,11373.6,0.84295,0.96193,1.19037,0.85376,0.89436,0.91612,0.75897,0.70446,0.49866,1.12667,0.005149,0.005149,0.005149
51,11591.7,0.83569,0.96351,1.18023,0.87329,0.88742,0.91983,0.76498,0.69911,0.48923,1.1171,0.00505,0.00505,0.00505
52,11810.1,0.8325,0.95166,1.17911,0.88961,0.88922,0.92541,0.76944,0.69698,0.47582,1.11654,0.004951,0.004951,0.004951
53,12031.6,0.82744,0.94515,1.18101,0.87962,0.90555,0.92873,0.77608,0.69206,0.47228,1.11344,0.004852,0.004852,0.004852
54,12253.8,0.83373,0.93508,1.17799,0.896,0.90429,0.93175,0.77957,0.68776,0.462,1.10571,0.004753,0.004753,0.004753
55,12472.3,0.82794,0.93598,1.17407,0.88718,0.90241,0.93227,0.7795,0.68866,0.4578,1.10648,0.004654,0.004654,0.004654
56,12694.8,0.81974,0.9224,1.1688,0.87097,0.91719,0.93076,0.78032,0.68001,0.4523,1.10019,0.004555,0.004555,0.004555
57,12910.7,0.81492,0.91187,1.16956,0.87455,0.91865,0.92895,0.77977,0.67883,0.45506,1.09842,0.004456,0.004456,0.004456
58,13127.3,0.8103,0.90222,1.16847,0.9157,0.88763,0.93541,0.78366,0.68104,0.44903,1.098,0.004357,0.004357,0.004357
59,13342.4,0.80684,0.9012,1.16902,0.88878,0.91343,0.93723,0.78853,0.67381,0.43991,1.09531,0.004258,0.004258,0.004258
60,13556.7,0.80532,0.89156,1.16331,0.90226,0.90424,0.93976,0.79114,0.67501,0.43957,1.09496,0.004159,0.004159,0.004159
61,13773.4,0.7974,0.86499,1.15804,0.91098,0.90941,0.94354,0.79614,0.66539,0.42754,1.08804,0.00406,0.00406,0.00406
62,13989.5,0.7961,0.86141,1.15691,0.90712,0.91584,0.94626,0.7975,0.66389,0.42523,1.08616,0.003961,0.003961,0.003961
63,14205.5,0.79148,0.84668,1.15533,0.91393,0.91662,0.94861,0.8024,0.66087,0.41738,1.08436,0.003862,0.003862,0.003862
64,14425.8,0.79134,0.85255,1.15309,0.91277,0.91937,0.94885,0.80344,0.65995,0.41281,1.08278,0.003763,0.003763,0.003763
65,14647.2,0.78776,0.83658,1.15407,0.92137,0.91296,0.94962,0.80629,0.65398,0.40645,1.07926,0.003664,0.003664,0.003664
66,14869.6,0.77949,0.82246,1.14854,0.9277,0.91864,0.95304,0.81112,0.65129,0.39838,1.07735,0.003565,0.003565,0.003565
67,15084.2,0.77273,0.81409,1.148,0.93632,0.92106,0.95662,0.81373,0.64967,0.38898,1.07497,0.003466,0.003466,0.003466
68,15299,0.77398,0.81476,1.14634,0.93843,0.92457,0.95779,0.81661,0.64549,0.38691,1.07307,0.003367,0.003367,0.003367
69,15518.8,0.76905,0.80791,1.1435,0.92638,0.93405,0.96031,0.81911,0.64252,0.38175,1.07081,0.003268,0.003268,0.003268
70,15737.7,0.75957,0.78358,1.13561,0.93094,0.93415,0.96305,0.82299,0.6408,0.37401,1.06998,0.003169,0.003169,0.003169
71,15952.3,0.76433,0.77999,1.14151,0.94297,0.92749,0.96441,0.82461,0.63906,0.36968,1.06854,0.00307,0.00307,0.00307
72,16172.6,0.75952,0.78054,1.13617,0.94128,0.9293,0.96498,0.82535,0.63463,0.36463,1.06524,0.002971,0.002971,0.002971
73,16395.4,0.75276,0.76665,1.13542,0.93489,0.93485,0.96481,0.82552,0.63224,0.36265,1.06318,0.002872,0.002872,0.002872
74,16622.9,0.74804,0.76072,1.13133,0.94403,0.93243,0.96612,0.82848,0.62943,0.35863,1.06064,0.002773,0.002773,0.002773
75,16847.4,0.74198,0.75098,1.12626,0.94634,0.93394,0.96697,0.82919,0.62887,0.35498,1.05989,0.002674,0.002674,0.002674
76,17065,0.74269,0.74851,1.12925,0.93462,0.9542,0.96844,0.8308,0.62554,0.34857,1.05712,0.002575,0.002575,0.002575
77,17284.5,0.73256,0.73952,1.12768,0.9446,0.94562,0.9687,0.83301,0.62193,0.34629,1.05415,0.002476,0.002476,0.002476
78,17505,0.72631,0.7195,1.11772,0.94309,0.94629,0.96921,0.83319,0.61968,0.34479,1.05274,0.002377,0.002377,0.002377
